adj	nn	attribute	semclass	status	context
knapp	Abstand	certainty	location	collocation	Aufgrund des knappen Abstands von drei Punkten zwischen Peter Sagan und André Greipel in der Punktewertung war der Zwischensprint des Hauptfeldes besonders umkämpft .
sicher	Abstand	security	location	free	Die Viererkette agiert mit " sicherem Abstand " , wenn sie etwa 20 Meter vor dem eigenen Tor steht .
bitter	Abstieg	intensity	event	collocation	Nach fünf Jahren Oberliga folgte im Jahre 2005 dann der bittere Abstieg in die Verbandsliga .
steil	Abstieg	dimension	artifact	free	Nach der Querung folgt ein steiler Aufstieg in den Waldbereich , über den man in den teilweise sehr steilen Abstieg über einen felsigen Hang gelangt .
offen	Abstimmung	social	event	collocation	Im Caucus-Verfahren werden die an bestimmte Kandidaten gebundenen Delegierten für die nationalen Parteitage in mehreren aufeinander folgenden Runden und häufig in offener Abstimmung ermittelt .
knapp	Abstimmungsergebnis	certainty	event	collocation	Im Stadtrat wurde - mit äußerst knappem Abstimmungsergebnis - beschlossen , das Gebäude umfassend zu renovieren und als Heimatmuseum der Öffentlichkeit zugänglich zu machen .
steil	Absturz	dimension	location	free	Die Höhenunterschiede sind dabei eher gering , es gibt kaum steile Abstürze , einige kleine Seen befinden sich in der Réserve .
steil	Abwärtstrend	intensity	event	collocation	In den folgenden zwei Jahren folgte ab dem Ausstieg des Hauptsponsors und einigen Personaländerungen im Kader ein steiler Abwärtstrend , der schließlich 2007 mit dem Abstieg in die ProA gipfelte .
sicher	Abwehr	certainty	group	collocation	In insgesamt 14 Länderspielen ohne jegliche Unterbrechung lief er in den folgenden beiden Jahren auf und bildete mit Ernst Happel eine sichere Abwehr .
grob	Abwehrfehler	intensity	cognition	collocation	In der 60. Minute führte ein grober Abwehrfehler zur erneuten Führung für Dresden , die der sich auffällig gesteigerte 19-jährige Stübner mit einem Gewaltschuss erzielte .
zäh	Abwehrkampf	description	event	collocation	Nach einjährigem zähen Abwehrkampf verlor die Republik Venedig die Insel Zypern an die Osmanen .
starr	Achse	movement	artifact	free	Wegen ihrer schlechten Laufeigenschaften aufgrund der starren Achsen und ihrer geringen Antriebsleistung wurden sie im Zeitraum von 1982 bis 1989 abgestellt .
spät	Achtziger	time	time	free	Die dritte Periode seiner Karriere fand in den späten Achtzigern statt , als er in seiner Lyrik kontinuierlich die Probleme des Lebens und der Realität untersuchte .
karg	Acker	climate	location	collocation	Im Osten und Südosten findet sich flaches Land mit kargen Äckern auf der Münchner Schotterebene .
schwarz	Adler	color	animal	free	Der vordere Platz des Schildes ist durch einen roten Balken geteilt , oben aus dem Spalt kommend ein halber schwarzer Adler , unten ein n .
stürmisch	Affäre	emotion	event	collocation	Nach dem ersten scheuen Kuss entwickelt sich zwischen den beiden jungen Männern eine stürmische Affäre .
wild	Affe	naturalness	animal	free	Shōdoshima ist auch für seine Oliven , Sojasoße , Strände und wilden Affen bekannt .
blind	Aggression	description	cognition	collocation	Der blinden Aggression folgt der triumphierende Ruf :  Ich bin böse und frei !  .
dunkel	Ahnung	evaluation	feeling	collocation	Auffallend ähnlich aber sind sich die beiden Dichter in der dunklen Ahnung , dass der Tod nicht mehr fern ist .
teuer	Akquisition	cost	event	free	Kritiker warfen im vor , das Wachstum im Kerngeschäft vernachlässigt zu haben und durch zu teure Akquisitionen seinem Nachfolger einen Schuldenberg ( von unterjährig 26 Mrd.
dick	Akte	dimension	artifact	free	Im Gegenteil : Um zu dicke Aktendeckel zu vermeiden , können aus einer dicken Akte mehrere dünne werden z.
dick	Aktenordner	dimension	artifact	free	Bei der Unteren Naturschutzbehörde des Hochsauerlandes gibt es einen dicken Aktenordner mit Namen " Kirchhagen Eslohe " .
mächtig	Akteur	power	person	free	Dies gilt meist für sämtliche Akteure ( Subjekte und Institutionen ) im Beziehungsgeflecht - sowohl für mächtige Akteure als auch für Akteure , die sich freiwillig oder unfreiwillig unterwerfen .
dumm	Aktion	intelligence	event	free	Doherty ließ sich erneut einweisen - sein Sprecher entschuldigte sich im Namen Dohertys für diese " dumme , dumme Aktion " .
blank	Aktionismus	certainty	motive	collocation	Durch ihre Ich-Bezogenheit und die Verherrlichung des blanken Aktionismus ( " die Tat " ) war es den Inflationsheiligen nicht gelungen , sinnvolle Lösungen der Gegenwartsprobleme zu liefern .
blind	Aktionismus	description	motive	collocation	Reclams Filmführer urteilte : " Das grausige und grausame Spiel steht als Zeichen für die Dekadenz einer bürgerlichen Ordnung , deren Verteidiger ihren Untergang durch blinden Aktionismus noch beschleunigen .
blind	Aktivismus	description	cognition	collocation	Aber wir müssen Sorge dafür tragen , dass diese politische Krise uns nicht orientierungslos macht und uns nicht zu einem blinden Aktivismus verleitet .
blind	Aktivist	health	person	free	sie mit ihrem Hass - das ist was anderes , blinde Aktivisten nennen sie die , die eigentlich korrekt handeln , Zivilcourage haben - es ist bei ihnen schon alles ziemlich weit weg , was sich gehört oder nicht und dieser Film zeigt euch und das nichtanschauen zeigt , dass sie sich wieder erkennen - wir müssen wieder zurück zu weniger ist mehr - aber warten wir noch ab , die vernünftigen werden immer mehr
leicht	Akzent	intensity	communication	collocation	Inwiefern ( und bitte ganz konkret ausführen ) ist es für die Regiearbeit hinderlich , einen leichten Akzent zu haben ?
stark	Akzent	intensity	communication	collocation	Einem späteren Interview zufolge sprach er sein ganzes Leben lang Englisch mit starkem Akzent .
blind	Alarm	validity	communication	collocation	Die zuständige Baubehörde sah aus der Sorge , möglicherweise einen blinden Alarm auszulösen , ebenfalls von einer Alarmierung ab .<ref
schlau	Algorithmus	function	cognition	collocation	Sprich , mehr Kooperationen mit Content-Lieferanten , mehr Content-Kreation und ein schlauer Algorithmus schustert das ganze dann individuell zugeschnitten zusammen .
herrlich	Allee	evaluation	artifact	free	Es war ein großer anmutiger Garten , mit herrlichen Alleen und freundlichen offenen Plätzen .
hart	Alltag	description	event	collocation	In ihnen spiegelt sich der harte Alltag im slowenischen kleinbäuerlichen Milieu Kärntens um 1900 .
rau	Alltag	description	event	collocation	Da Verhalten durch den rauen Alltag leicht in alte Vorgangsweisen zurückfällt ( " Heimkehreffekt " ) , kann eine Auffrischungsphase sehr hilfreich sein .
arm	Alte	social	group	free	Verbunden mit der Demografie-Prognosen stehen DE dann in 20 , 30J wirklich  rosige  Zeiten entgegen : im Land vermehrt arme Alte .
zart	Alter	time	time	collocation	Im zarten Alter von neun Jahren erwacht das Interesse an Musik : Hip Hop hat es dem Knaben angetan und er reimt seine ersten Texte .
sicher	Alternative	security	attribute	collocation	Eine wohl sichere Alternative sind freie Firewall-Distributionen auf Basis wohl sichererer Betriebssysteme , zum Beispiel OPNsense .
starr	Altersgrenze	rigidity	time	collocation	Geht man hingegen von einer starren Altersgrenze aus , ist eine Grundrechtsmündigkeit bei den Grundrechten , die an die menschliche Existenz anknüpfen , stets gegeben ( z . B.
historisch	Altstadt	time	location	collocation	Der Friedrichsplatz sollte die historische Altstadt von Kassel begrenzen und gleichzeitig als Bindeglied zwischen Altstadt und barocker Oberneustadt wirken .
blank	Aluminium	surface	substance	free	Die Blende und die Knöpfe waren in Silber bzw. blankem Aluminium gehalten .
karg	Ambiente	description	location	collocation	Nur einige bunte Lichter erwärmten das karge Ambiente feuchter Wände .
arm	Amerikaner	social	person	free	Wusste nicht , dass Trump singt .... Hätt eher gesagt eine Mischung aus Lugner und Stronach ... arme Amerikaner
reich	Amerikaner	social	person	free	Bei der Feier bekommt Ripley mit , wie ihn Trevanny gegenüber seinen Gästen als zu reichen Amerikaner mit schlechtem Geschmack beschreibt .
schwarz	Amerikaner	social	person	collocation	Hatte das Bürgerrechtsgesetz vom 2. Juli 1964 die Lage der schwarzen Amerikaner auch deutlich verbessert , so war ihre Diskriminierung bei den Wahlvorgängen damit keineswegs beseitigt .
tot	Amerikaner	state	person	free	Die Indianer ihrerseits erbeuteten die Kleidung der toten Amerikaner und skalpierten mindestens einen toten Gegner .
reich	Amerikanerin	social	person	free	Sie ist Gesellschafterin einer reichen Amerikanerin geworden , die seit ihrer Ehe mit einem russischen Fürstin nur noch als  Kaiserin  bekannt ist .
mächtig	Amt	power	location	free	Trotz der relativ schlechten Voraussetzungen übernahm Chamenei ein mächtiges Amt mit umfangreichen bis totalitären Kompetenzen .
blank	Anarchie	intensity	cognition	collocation	Währenddessen eiern Fail-Männchen und Freunde weiter orientierungslos herum - schieben sich gegenseitig die Schuld zu und in der Zwischenzeit bricht die blanke Anarchie aus .
teuer	Anbieter	cost	group	free	So ordnete er die verschiedenen Produktionsbereiche konkreten Personalien zu , schloss ineffiziente Vertriebszentren , wechselte zu teure Anbieter und sorgte für die systematische Reduzierung der Lagerbestände von durchschnittlich 31 auf sechs Tage .
windig	Anbieter	certainty	group	collocation	M. E. sollte die E-Control sich eher darum bemühen MEHR Transparenz zu schaffen und nicht den windigen Anbietern noch eine Plattform bieten .
herrlich	Anblick	evaluation	attribute	free	Man kann vom Pressegger See aus den herrlichen Anblick des 2.119 m hohen Berges genießen .
dunkel	Andeutung	intensity	communication	collocation	Und Sie bleiben inhaltlich auch hübsch in der Defensive , ergehen sich nur in dunklen Andeutungen .
zart	Andeutung	intensity	communication	collocation	In seinen Aquarellen gelingt es Gerhard Ausborn , die Stimmungen der Landschaften durch zarte Andeutungen , bisweilen auch durch kräftige Farben einzufangen .
spät	Anerkennung	time	cognition	collocation	Diese späte Anerkennung und die Planung eines Bildbandes veranlassten ihn dazu , alte Negative systematisch neu abzuziehen und zu beschriften .
zart	Anfang	description	time	collocation	Und die zarten Anfänge von Wind und Sonnenkraft sind eher Spielzeugmasstab , im Vergleich zu Kernkraftwerken .
stürmisch	Anfangsphase	speed	time	collocation	Nach stürmischer Anfangsphase der Franzosen , in der Neuer einen Schuss von Griezmann abwehren konnte , bekam die deutsche Mannschaft das Spiel immer mehr unter Kontrolle und kam ihrerseits zu guten Torchancen , die aber nicht genutzt werden konnten .
knapp	Angebot	quantity	quantity	free	Durch dieses knappe Angebot und die zusätzlich erhöhte Nachfrage der Leerverkäufer , schnellte die VW-Aktie bis zum 28. Oktober 2008 zeitweise auf über 1.000 € .
reich	Angebot	quantity	quantity	collocation	Hase , Wachtel , Schnepfe , Fasan und Wildente sind Teil des reichen Angebots , das Jäger anzieht .
teuer	Angebot	cost	communication	free	Eine Variante des PCI stellt das vergleichsweise teure Angebot PCI Full Text dar , das zusätzlich den Zugang zu ausgewählten Artikel-Volltexten aus 350 Zeitschriften ermöglicht .
tot	Angehörige	state	person	free	Allerheiligen , auch bekannt als " Undas " , wird auf den Philippinen in Erinnerung an die toten Angehörigen begangen .
teuer	Angelegenheit	cost	cognition	free	Allein dies machte die Anfechtung , ebenso wie die hohe Kaution , zu einer extrem teuren Angelegenheit .
windig	Angelegenheit	certainty	event	collocation	Bei der pegida D hatte ich das Gefühl , dass hier Sponsoren aus dem Ausland das Ziel verfolgten die deutsche Gesellschaft zu spalten , sehr windige Angelegenheit das ganze .
zäh	Angelegenheit	description	cognition	collocation	Mit zahlreichen , nicht immer gelungenen Dialogen und vergleichsweise wenig Action , die zudem eher spröde und uninspiriert inszeniert wirkt , ist der Film eine eher zähe Angelegenheit [ ... ]
scharf	Angriff	intensity	cognition	collocation	Die Zeitschrift trat hauptsächlich durch ihre scharfen Angriffe gegen die Westintegration der Bundesrepublik hervor .
stark	Angriff	intensity	event	collocation	Es musste sich starker Angriffe der französischen 4. Armee erwehren und wurde nach seiner Ablöse durch das III .
blank	Angst	intensity	feeling	collocation	In blanker Angst versucht sich die Vietnamesin Lien mit ihren Angehörigen in einem der obersten Stockwerke in Sicherheit zu bringen .
grob	Anhaltspunkt	precision	cognition	collocation	( Aufgrund der individuellen Unterschiede in der Reaktion auf Alkohol sind die angegebenen Grenzen nur grobe Anhaltspunkte . )
sanft	Anhöhe	intensity	shape	collocation	Der Ort ist umgeben von Feldern mit sanften Anhöhen , kleinen Bächen und Wäldchen .
steil	Anhöhe	dimension	shape	free	Man erreicht Prislop über Rășinari vom Ortskern aus nach Südosten über eine steile Anhöhe .
bitter	Anklage	emotion	communication	collocation	Es gelingt ihm jedoch , diese mit scharfsinnigen Texten mal zur Plauderstunde , mal zur bitteren Anklage werden zu lassen .
sicher	Anlage	security	possession	free	Sie bezeichnet den Zinssatz einer sicheren Anlage für den gegenwärtigen , infinitesimal ( unendlich ) kurzen Zeitraum .
teuer	Anlage	cost	artifact	free	Die knapp 9 Millionen Euro teure Anlage bestand noch vor ihrer offiziellen Einweihung im Frühjahr 2004 ihre erste Bewährungsprobe .
sicher	Anlageform	security	attribute	free	Der heimische Sparstrumpf erscheint mir jedenfalls momentan als sichere Anlageform - wo mittlerweile schon auf einstigen Supermächten der Kuckuck klebt ... Aber das ist eine andere Geschichte .
sanft	Anmut	description	attribute	collocation	Sanfte Anmut liegt über dem Beginn des konzertanten Satzes , der sich nach Tonfall und Weite ohne weiteres neben den 1. Satz des 4. Klavierkonzerts stellen lässt .
grob	Annäherung	precision	event	collocation	Aus der Kenntnis der Arten- und Sortencharaktere bzw. der Produktivitätstypen versuchte er in grober Annäherung die Bedingungen abzuleiten , unter denen Höchsterträge zu erwarten sind .
zart	Annäherung	intensity	relation	collocation	Konrad Oßwald , der junge Maler des Ortes , soll die Sehenswürdigkeiten für Plakate darstellen ; es kommt bei diesem Ausflug zu einer sehr zarten Annäherung des Künstlers an Henny , der Tochter der Schnaases .
stark	Anreiz	intensity	attribute	collocation	Hierbei entstehen zu starke Anreize , sodass sich die Arbeitnehmer für ein ineffizient hohes Anstrengungsniveau entscheiden .
zart	Ansatz	description	communication	collocation	Wenn man von solchen Kolumnen , wie der Obigen , als zarten Ansatz dafür einmal absieht .
teuer	Anschaffung	cost	possession	free	Bei teuren Anschaffungen jedoch wird der Verkäufer in der Regel die Zustimmung der gesetzlichen Vertreter verlangen , um für sich Rechtssicherheit herzustellen .
frech	Anspielung	description	communication	free	Das Stück ist die freche Utopie eines antimilitaristischen , dafür aber betont lustfreundlichen Staates und zugleich mit seinen frechen Anspielungen und frivolen Verwechslungen eine augenzwinkernde Satire auf den freizügigen Zeitgeist der 1920er Jahre .
leicht	Anstieg	intensity	quantity	collocation	Nach dem Tiefstwert des Jahres 1962 ist jedoch wieder ein leichter Anstieg zu beobachten .
scharf	Anstieg	intensity	quantity	collocation	Der schärfste Anstieg wurde in Mittelost , und zwar seit der Invasion des Iraks , gemessen .
stark	Anstieg	intensity	quantity	collocation	IK-7 ist eine Variante von IK-3 mit demselben starken Anstieg auf dem Intonationszentrum , doch mit einer kurzen Pause vor dem Fall auf der folgenden Silbe .
steil	Anstieg	intensity	quantity	collocation	Wie schon erwähnt , ist eine elektrooptische Kennlinie mit ausgeprägtem Schwellenwert und daraufhin steilem Anstieg bei höherer Spannung Voraussetzung zur Realisierung von Passiv-Matrix-Displays mit vielen Zeilen und Spalten .
dumm	Antwort	intelligence	communication	free	Oder sind diese dummen Antworten nur Ausdruck von Arroganz und der Selbstsicherheit , dass Geheimdienste und Rechtsradikale die Republik bereits fest in der Hand haben ?
frech	Antwort	description	communication	free	Besonders bei kleineren Kindern ist es in den USA verbreitet , als ( auch zusätzliche ) Bestrafung für freche Antworten oder unanständige Wörter den Mund mit Seife auszuspülen .
knapp	Antwort	description	communication	collocation	An die knappe Antwort der Regierung , dass keine Änderung der Rechtsverhältnisse beabsichtigt sei , schloss sich eine ausgedehnte Debatte an .
schlau	Antwort	intelligence	communication	free	Er enthält einen virtuellen Assistenten und kommt mit einer " schlauen Antwort " Funktion , die automatische Vorschläge für eine Antwort gibt .
windig	Anwalt	certainty	person	collocation	Allerdings gelingt es ihrer Zielperson sich zunächst erfolgreich einer Verhaftung zu entziehen , dank eines engagierten und windigen Anwalts : Ken Chan .
knapp	Anweisung	description	communication	collocation	Die knappe Anweisung des Generalsekretärs zur Lösung des Problems : " Dann befragen sie einen Experten ! "
sicher	Anzeichen	certainty	communication	collocation	Mit Kruto gelangte dabei ein Vertreter des heidnischen Teils des Adels an die Macht , sicheres Anzeichen dafür , dass eine Christianisierung der Bevölkerung nicht stattgefunden hatte .
zart	Anzeichen	intensity	communication	collocation	bereits einmal aufgeblitzt war - der justinianischen Gesetzgebung im 17. und 18. Jahrhundert letztlich auch in Deutschland eine Blütezeit , und erste zarte Anzeichen für die Entwicklung des überpositiven Rechts , der historischen Rechtsschule und der Pandektistik wurden spürbar .
dunkel	Anzug	brightness	artifact	free	Sie reiht sich mit ihren gedeckten Farben und schlichten Blazern zwischen die dunklen Anzüge und Kostüme die Politikwelt ein .
hell	Anzug	brightness	artifact	free	Im hellen Anzug und Ledersandalen servierte Wainwright in den Zwischenmoderationen entspannt eine Pointe nach der anderen .
schwarz	Anzug	color	artifact	free	Am häufigsten wurde das Video gezeigt , das die Band in schwarzen Anzügen beim Spielen des Liedes zeigt .
teuer	Anzug	cost	artifact	free	Fredi hat bestimmt 30 Kilogramm zugenommen , und der teure Anzug , den er trägt , passt zwar zu seinem grosstuerischen Auftreten , aber nicht zu seinem uneleganten Benehmen .
teuer	Apparat	cost	artifact	free	Zu allem Überfluss konzentrierte sich Rollei beim Marketing ungeachtet geringerer Gewinnspannen und der gewaltigen japanischen Konkurrenz auf die neuen Amateurprodukte , während es Leitz und Hasselblad perfekt verstanden , ihre teuren Apparate sowohl in den Werbe- wie auch in den redaktionellen Seiten der Fotozeitschriften unterzubringen .
stürmisch	Applaus	emotion	communication	collocation	Nach 32 Minuten gingen die zwei Ex-Nationalspieler beim Spielstand von 1:1 durch ein von den FC- und Nationalelfspielern gebildetes Spalier unter stürmischem Applaus vom Platz .
zart	Aquarell	description	artifact	collocation	Das Werk reicht von kleinen bis zu sehr großen Bildern in Öl , Acryl und Aquatec , von zarten Aquarellen bis zu kräftigen Kohlezeichnungen .
reich	Araber	social	person	free	Nun sind die reichen Araber gefordert , sich endlich um ihre muslimischen Nachbarn zu kümmern .
hart	Arbeit	description	event	collocation	Der Song thematisiert die Lustlosigkeit zu arbeiten und betont , dass man allein durch harte Arbeit ein schöneres Leben erreichen kann .
leicht	Arbeit	description	event	collocation	Zeitweilig war es das berühmteste Haus Hollands : Seine Bewohner , verurteilte Delinquenten , wurden zu leichten Arbeiten herangezogen und konnten beinah jederzeit von jedermann besichtigt werden .
spät	Arbeit	time	artifact	collocation	mit der Fischereiwirtschaft , mit Bewässerungssystemen , mit Wald- und Weidewirtschaft , in späteren Arbeiten auch mit Wissen und der Problematik des geistigen Eigentums .
zäh	Arbeit	description	event	collocation	Arbeitnehmervertreter können neben der oft langwierigen und zähen Arbeit auf der Organisationsebene ebenfalls dabei helfen , auf der individuellen Ebene im Fall einer psychomentalen Fehlbelastung Sofortmaßnahmen zu unterstützen .
arm	Arbeiter	social	person	free	Die Hafengebiete außerhalb Londons , wo die armen Arbeiter in erbärmlichen Behausungen zusammengepfercht lebten , waren als erste von der Pest betroffen .
hart	Arbeiter	charakter	person	collocation	Er blieb der Mannschaft jedoch weiterhin treu und entwickelte sich zu einem wichtigen und harten Arbeiter im Teamgefüge .
alt	Arbeitslose	age	person	free	Schwerpunkte seiner Politik lagen in der Sozialgesetzgebung etwa bei der Umschulung von Arbeitnehmern als Folgen des Strukturwandels , der Eingliederung älterer Arbeitsloser und der Verbesserung der Altenhilfe .
starr	Arbeitsmarkt	rigidity	possession	collocation	Dies und der starre Arbeitsmarkt verursachen hohe gesamtwirtschaftliche Ineffizienzen , nicht zuletzt wird die hohe Arbeitslosigkeit unter jungen Menschen hierauf zurückgeführt .
sicher	Arbeitsplatz	security	event	free	Schwieriger ist es , Hochschulabsolventen anzuziehen , die oft von den großen Namen und den vermeintlich sicheren Arbeitsplätzen großer Konzerne beeindruckt sind .
starr	Arbeitsrecht	rigidity	communication	collocation	Ist nämlich ein Gschichterl , kurzfristig hat es Arbeitsplätze geschaffen , mittelfristig hat es , in Kombination mit dem starren Arbeitsrecht , das Kündigungen sehr schwierig macht , dazu geführt , daß vor allem die Klein- und Mittelbetriebe unter die Räder gekommen sind .
starr	Arbeitszeiten	rigidity	time	collocation	" In einem System mit starren Arbeitszeiten kann man schwankenden Kapazitätsanforderungen jedoch nur schwer folgen .	"
karg	Arbeitszimmer	description	artifact	collocation	Doch ihre Freundlichkeit und Annäherungsversuche , als sie sein karges Arbeitszimmer mit einem Blumenstrauß schmücken wollte oder sich für seine Privatlektüre interessierte , wies er generell brüsk zurück und beschränkte die Gespräche auf dienstliche Themen .
teuer	Arena	cost	location	free	Am 29. September 1999 schloss die 16 Millionen US-Dollar teuere Arena und wurde ab dem 24. Januar 2000 abgerissen .
dumm	Argument	intelligence	communication	free	Ich bin es halt leid immer die selben dummen Argumente und Vorurteile zu entkräften zu versuchen .
stark	Argument	power	communication	collocation	Ich stelle fest , das es doch sehr wirkungsvoll ist , denn Wirtschaft zählt immer als ein starkes Argument , Soziales dagegen als untergeordnetes Argument .
windig	Argument	certainty	communication	collocation	Tal Adlers Projekt sollte sich dem Umgang der TirolerInnen mit der NS-Vergangenheit widmen , auch dieses wurde mit windigen Argumenten zuerst abgelehnt .
mächtig	Armee	power	group	free	Die Tiefengnome treten mit einer sehr mächtigen Armee auf den Plan und helfen den Verteidigern , die Drow zu vertreiben .
hölzern	Armlehne	material	artifact	free	Bis zur 6. Partie musste der Weltmeister mit einem einfachen Polsterstuhl mit nicht verstellbarer Rückenlehne und hölzernen Armlehnen vorliebnehmen , während der Herausforderer einen Luxusdrehsessel aus Leder benutzte .
bitter	Armut	intensity	possession	collocation	Nix funktioniert , kein Wasser und Strom , es herrscht Krieg und alle leben in bitterer Armut im Dreck .
mild	Aroma	taste	attribute	collocation	Der Geschmack und das Aroma werden stark von der Fettschicht beeinflusst ; Lacón schmeckt leicht salzig und hat ein mildes Aroma .
zart	Aroma	intensity	attribute	collocation	Der Geschmack der Höri-Bülle ist vor allem durch das zarte Aroma und die milde , unaufdringliche Schärfe gekennzeichnet .
dumm	Arschloch	intelligence	person	free	Ich kann aber einen Menschen ganz grundsätzlich in seiner Menschlichkeit respektieren und ihn trotzdem für ein dummes Arschloch halten .
offen	Art	description	attribute	collocation	Lediglich das tollpatschige Dienstmädchen Desi sorgt aufgrund seiner schlichten , offenen Art für etwas Abwechslung im tristen Alltag des Rentners .
sanft	Art	description	attribute	collocation	Der Motor und seine sanfte Art der Kraftentfaltung gehörten zu den größten Stärken des Autos .
wild	Artgenosse	naturalness	person	free	Diese halbwilden Kraniche tolerieren in größerem Maße als ihre wilden Artgenossen die Anwesenheit von Menschen , was das Ziel dieser Maßnahme ist .
teuer	Arzneimittel	cost	substance	free	Zudem versteht man unter Arzneimittelfälschung auch das Fälschen eines Arzneimittels , d. h. die betrügerische Vertauschung eines teueren Arzneimittels mit einem billigen ( im Mittelalter lateinisch als " sophisticatio " , seltener mit " adulterare " bezeichnet ) .
frei	Arztwahl	social	event	collocation	Freie Arztwahl bedeutet , dass sich der Patient zur Behandlung grundsätzlich an einen frei gewählten Arzt seines Vertrauens wenden kann .
blank	Asphalt	surface	substance	collocation	Das Gehen mit Schuhspikes auf Stellen mit blankem Asphalt oder Steinen kann die Stahlstifte und ihre Halterungen beschädigen , wie auch eine schlurfende Gangart .
rau	Asphalt	surface	substance	free	Die meisten tippten darauf , dass es nicht an der Geschwindigkeit lag , sondern an dem rauen Asphalt .
dick	Ast	dimension	plant	free	Aus Tschechien wird auch der Befall von über zehn Zentimeter dicken Ästen im Kronenbereich gemeldet .
tot	Ast	state	plant	free	Der Violettblättrige Muschelseitling ist ein saprobiontischer Bewohner von abgestorbenem Nadelholz und besiedelt hauptsächlich liegende oder noch ansitzende tote Äste und Zweige ( Reisighaufen ) und Stämmchen .
karg	Ästhetik	description	attribute	collocation	Die schlichte , fast karge Ästhetik des Innenraumes entspricht dem Lebensgefühl der Fünfziger Jahre .
