attribute_original	adjective	noun	GerCoAT	status
SIZE	tiny	feet	dimension	free
EVENNESS	uneven	grain	dimension	free
EVENNESS	uneven	margin	dimension	free
EVENNESS	uneven	ground	dimension	free
DIRECTION_ORIENTATION	vertical	pillar	dimension	free
SIZE	voluminous	skirt	dimension	free
WIDTH	wide	margin	dimension	free
WIDTH	wide	necktie	dimension	free
WIDTH	wide	road	dimension	free
DIFFICULTY	knotty	problem	effort	collocation
DIFFICULTY	sticky	question	effort	collocation
PERMANENCE	ephemeral	joy	duration	free
PERMANENCE	impermanent	factor	duration	free
PERMANENCE	interim	agreement	duration	free
DURATION	lifelong	study	duration	free
DURATION	long	friendship	duration	free
DURATION	long	game	duration	free
DURATION	long	life	duration	free
DURATION	long	time	duration	free
DURATION	long-term	reconstruction	duration	free
DURATION	longstanding	conflict	duration	free
DURATION	longstanding	friendship	duration	free
PERMANENCE	permanent	address	duration	free
PERMANENCE	permanent	secretary	duration	free
PERMANENCE	permanent	value	duration	free
DURATION	short	flight	duration	free
DURATION	short	holiday	duration	free
DURATION	short	life	duration	free
DURATION	short	month	duration	free
DURATION	short	story	duration	free
PERMANENCE	temporary	housing	duration	free
PERMANENCE	transient	beauty	duration	free
PERMANENCE	transitory	love	duration	free
TRACTABILITY	tractable	disposition	effort	collocation
EASE	uncomplicated	solution	effort	collocation
PLEASANTNESS	acid	comment	emotion	collocation
PLEASANTNESS	acrid	remark	emotion	collocation
SARCASM	barbed	compliment	emotion	collocation
SARCASM	biting	aphorism	emotion	collocation
PLEASANTNESS	bitter	word	emotion	collocation
CHEERFULNESS	blue	day	emotion	collocation
CHEERFULNESS	cheerful	room	emotion	collocation
FRIENDLINESS	chilly	greeting	emotion	collocation
EMOTIONALITY	cold	logic	emotion	collocation
EMOTIONALITY	cool	reception	emotion	collocation
EMOTIONALITY	cool	relation	emotion	collocation
CHEERFULNESS	dark	day	emotion	collocation
DRAMA	dramatic	entrance	emotion	collocation
DRAMA	dramatic	rescue	emotion	collocation
EMOTIONALITY	dry	critique	emotion	collocation
EMOTIONALITY	dry	greeting	emotion	collocation
INTEREST	dull	play	emotion	collocation
EMOTIONALITY	fiery	temper	emotion	collocation
EMOTIONALITY	flaming	passion	emotion	collocation
CHEERFULNESS	gloomy	day	emotion	collocation
HAPPINESS	happy	day	emotion	collocation
HAPPINESS	happy	marriage	emotion	collocation
HAPPINESS	happy	smile	emotion	collocation
EMOTIONALITY	hot	argument	emotion	collocation
EMOTIONALITY	hot	temper	emotion	collocation
EMOTIONALITY	hot	topic	emotion	collocation
ALARM	macabre	tale	emotion	collocation
ALARM	macabre	torture	emotion	collocation
NASTINESS	mean	mood	emotion	collocation
DRAMA	melodramatic	account	emotion	collocation
NASTINESS	nasty	accident	emotion	collocation
NASTINESS	nasty	mood	emotion	collocation
NASTINESS	nasty	shock	emotion	collocation
NASTINESS	nasty	smell	emotion	collocation
NASTINESS	nasty	thing	emotion	collocation
NASTINESS	nasty	trick	emotion	collocation
INTEREST	ponderous	speech	emotion	collocation
PRIDE	proud	moment	emotion	collocation
EMOTIONALITY	red-hot	speech	emotion	collocation
EMOTIONALITY	schmaltzy	song	emotion	collocation
CHEERFULNESS	somber	mood	emotion	collocation
PLEASANTNESS	sore	trial	emotion	collocation
EMOTIONALITY	sultry	look	emotion	collocation
CHEERFULNESS	uncheerful	place	emotion	collocation
COMFORT	uncomfortable	day	emotion	collocation
HAPPINESS	unhappy	silence	emotion	collocation
HAPPINESS	unhappy	time	emotion	collocation
PLEASANTNESS	unhappy	truth	emotion	collocation
EMOTIONALITY	warm	greeting	emotion	collocation
EMOTIONALITY	warm	personality	emotion	collocation
EMOTIONALITY	warm	support	emotion	collocation
FRIENDLINESS	affable	smile	emotion	free
FRIENDLINESS	amiable	gathering	emotion	free
INTEREST	amusing	speaker	emotion	free
EVIL	atrocious	crime	emotion	free
EXCITEMENT	breathtaking	adventure	emotion	free
CHEERFULNESS	cheerful	greeting	emotion	free
CHEERFULNESS	cheerful	nature	emotion	free
CHEERFULNESS	cheery	hello	emotion	free
FRIENDLINESS	cordial	greeting	emotion	free
FRIENDLINESS	cordial	relation	emotion	free
ALARM	creepy	story	emotion	free
PLEASANTNESS	enjoyable	company	emotion	free
EXCITEMENT	exciting	account	emotion	free
INTEREST	fascinating	story	emotion	free
TIMIDITY	fearful	glance	emotion	free
FRIENDLINESS	genial	host	emotion	free
ALARM	ghastly	wound	emotion	free
EVIL	grievous	crime	emotion	free
EVIL	grievous	offense	emotion	free
PLEASANTNESS	grim	man	emotion	free
ALARM	grisly	murder	emotion	free
ALARM	gruesome	evidence	emotion	free
THOUGHTFULNESS	inconsiderate	reasoning	emotion	free
SARCASM	sardonic	laughter	emotion	free
CHEERFULNESS	sunny	smile	emotion	free
EXCITEMENT	thrilling	performer	emotion	free
TIMIDITY	timorous	tone	emotion	free
CHEERFULNESS	uncheerful	person	emotion	free
INTEREST	uninteresting	account	emotion	free
HAPPINESS	wretched	prisoner	emotion	free
LIVELINESS	warm	debate	emotion	collocation
DISPOSITION	reluctant	smile	emotion	collocation
OFFENSIVENESS	offensive	remark	emotion	collocation
OFFENSIVENESS	inoffensive	behavior	emotion	collocation
HUMILITY	humble	apology	epithet	collocation
PRIDE	proud	parent	epithet	collocation
QUALITY	atrocious	taste	evaluation	collocation
CONVENIENCE	awkward	time	evaluation	collocation
BEAUTY	beautiful	party	evaluation	collocation
BEAUTY	beautiful	theory	evaluation	collocation
BENIGNITY	benign	influence	evaluation	collocation
BENIGNITY	benign	sky	evaluation	collocation
BENIGNITY	benign	smile	evaluation	collocation
KINDNESS	benign	intention	evaluation	collocation
AUSPICIOUSNESS	bright	future	evaluation	collocation
WORTHINESS	exemplary	behavior	evaluation	collocation
NICENESS	good	manner	evaluation	collocation
DEGREE	high	opinion	evaluation	collocation
POPULARITY	hot	doll	evaluation	collocation
AUSPICIOUSNESS	ill	omen	evaluation	collocation
AUSPICIOUSNESS	ill	prediction	evaluation	collocation
QUALITY	lousy	play	evaluation	collocation
MALIGNITY	malign	motive	evaluation	collocation
QUALITY	painful	performance	evaluation	collocation
QUALITY	poor	light	evaluation	collocation
QUALITY	poor	morale	evaluation	collocation
WORTHINESS	precious	memory	evaluation	collocation
AUSPICIOUSNESS	propitious	omen	evaluation	collocation
QUALITY	abominable	workmanship	evaluation	free
ATTRACTIVENESS	attractive	illustration	evaluation	free
ATTRACTIVENESS	attractive	personality	evaluation	free
AUSPICIOUSNESS	auspicious	beginning	evaluation	free
QUALITY	awful	voice	evaluation	free
QUALITY	bad	impression	evaluation	free
QUALITY	bad	light	evaluation	free
QUALITY	bad	review	evaluation	free
QUALITY	bad	choice	evaluation	free
BEAUTY	beautiful	country	evaluation	free
BEAUTY	beautiful	painting	evaluation	free
BENEFICENCE	beneficent	regime	evaluation	free
QUALITY	deplorable	state	evaluation	free
QUALITY	dreadful	manner	evaluation	free
EVIL	evil	deed	evaluation	free
EVIL	evil	influence	evaluation	free
EVIL	evil	purpose	evaluation	free
FELICITY	felicitous	speaker	evaluation	free
QUALITY	good	check	evaluation	free
QUALITY	good	dress	evaluation	free
QUALITY	good	joke	evaluation	free
QUALITY	good	knife	evaluation	free
QUALITY	good	secretary	evaluation	free
QUALITY	good	news	evaluation	free
BEAUTY	hideous	scar	evaluation	free
FELICITY	infelicitous	phrasing	evaluation	free
FELICITY	infelicitous	remark	evaluation	free
QUALITY	lamentable	decision	evaluation	free
WORTHINESS	laudable	motive	evaluation	free
WORTHINESS	meritorious	conduct	evaluation	free
QUALITY	negative	evaluation	evaluation	free
QUALITY	negative	outlook	evaluation	free
QUALITY	negative	reaction	evaluation	free
NICENESS	nice	day	evaluation	free
NICENESS	nice	dress	evaluation	free
NICENESS	nice	face	evaluation	free
NICENESS	nice	fellow	evaluation	free
NICENESS	nice	manner	evaluation	free
NICENESS	nice	time	evaluation	free
NICENESS	nice	today	evaluation	free
NICENESS	nice	tomato	evaluation	free
POLITENESS	nice	gesture	evaluation	free
AUSPICIOUSNESS	ominous	silence	evaluation	free
PLEASANTNESS	pleasant	evening	evaluation	free
PLEASANTNESS	pleasant	scene	evaluation	free
PLEASANTNESS	pleasant	sensation	evaluation	free
PLEASANTNESS	pleasurable	excitement	evaluation	free
QUALITY	positive	attitude	evaluation	free
QUALITY	positive	benefit	evaluation	free
AUSPICIOUSNESS	propitious	alignment	evaluation	free
AUSPICIOUSNESS	propitious	gale	evaluation	free
ORDINARINESS	remarkable	sight	evaluation	free
QUALITY	superior	wisdom	evaluation	free
QUALITY	supreme	courage	evaluation	free
QUALITY	terrible	handwriting	evaluation	free
BEAUTY	ugly	furniture	evaluation	free
PLEASANTNESS	unpleasant	odor	evaluation	free
PLEASANTNESS	unpleasant	personality	evaluation	free
PLEASANTNESS	unpleasant	repercussion	evaluation	free
BEAUTY	unsightly	billboard	evaluation	free
WORTHINESS	worthwhile	book	evaluation	free
WORTHINESS	worthy	cause	evaluation	free
WORTHINESS	worthy	fellow	evaluation	free
AUSPICIOUSNESS	prosperous	moment	evaluation	collocation
BEAUTY	repulsive	mask	evaluation	collocation
AUSPICIOUSNESS	rosy	prediction	evaluation	collocation
WORTHINESS	sacred	calling	evaluation	collocation
QUALITY	solid	comfort	evaluation	collocation
WORTHINESS	valuable	friend	evaluation	collocation
EVIL	black	deed	evaluation	collocation
EVIL	black	lie	evaluation	collocation
EVIL	dark	purpose	evaluation	collocation
EVIL	dark	undercurrent	evaluation	collocation
EVIL	devilish	scheme	evaluation	collocation
PLEASANTNESS	hellish	weather	evaluation	collocation
ACTION	active	volcano	function	collocation
ABSORBENCY	absorbent	sponge	function	free
EFFECTIVENESS	effective	step	function	free
EFFICACY	efficacious	medicine	function	free
CONVENIENCE	handy	gadget	function	free
UTILITY	ineffectual	therapy	function	free
CONVERTIBILITY	redeemable	stock	function	free
CONVERTIBILITY	redeemable	coupon	function	free
COMFORT	soothing	ointment	function	free
VALENCE	univalent	chromosome	function	free
UTILITY	useful	job	function	free
UTILITY	useful	member	function	free
UTILITY	useless	gadget	function	free
UTILITY	utilitarian	kitchenware	function	free
FERTILITY	barren	woman	health	free
HEALTH	healthy	baby	health	free
FERTILITY	infertile	couple	health	free
HEALTH	ingrown	toenail	health	free
HEALTH	pathologic	tissue	health	free
HEALTH	unhealthy	ulcer	health	free
HEALTH	varicose	vein	health	free
DORMANCY	dormant	volcano	function	collocation
EXTINCTION	extinct	volcano	function	collocation
FUNCTION	functional	architecture	function	collocation
FUNCTION	functional	word	function	collocation
POTENCY	potent	liquor	function	collocation
POTENCY	potent	toxin	function	collocation
POWER	potent	weapon	function	collocation
POWER	powerful	bomb	function	collocation
POWER	powerful	drug	function	collocation
POTENCY	stiff	drink	function	collocation
STRENGTH	strong	medicine	function	collocation
ABSORBENCY	thirsty	towel	function	collocation
IMPORTANCE	big	day	importance	collocation
IMPORTANCE	central	cause	importance	collocation
IMPORTANCE	cardinal	rule	importance	free
IMPORTANCE	crucial	information	importance	free
DISPENSABILITY	dispensable	item	importance	free
ESSENTIALITY	essential	feature	importance	free
IMPORTANCE	grave	decision	importance	free
IMPORTANCE	grave	responsibility	importance	free
IMPORTANCE	important	people	importance	free
IMPORTANCE	important	question	importance	free
CONSPICUOUSNESS	salient	trait	importance	free
SIGNIFICANCE	significant	change	importance	free
SIGNIFICANCE	significant	contribution	importance	free
SIGNIFICANCE	significant	detail	importance	free
IMPORTANCE	small-time	actor	importance	free
SIGNIFICANCE	trivial	objection	importance	free
IMPORTANCE	unimportant	feature	importance	free
CRISIS	critical	stage	importance	collocation
DISPENSABILITY	critical	element	importance	collocation
SIGNIFICANCE	epochal	decision	importance	collocation
INTELLIGENCE	brainy	woman	intelligence	free
INTELLIGENCE	clever	man	intelligence	free
INTELLIGENCE	smart	child	intelligence	free
AWARENESS	unaware	person	intelligence	free
INTELLIGENCE	unintelligent	co-worker	intelligence	free
SIGNIFICANCE	fundamental	change	importance	collocation
SIGNIFICANCE	fundamental	error	importance	collocation
SIGNIFICANCE	fundamental	revolution	importance	collocation
SIGNIFICANCE	monumental	contribution	importance	collocation
CONSPICUOUSNESS	prominent	feature	importance	collocation
IMPORTANCE	serious	matter	importance	collocation
SIGNIFICANCE	slight	evidence	importance	collocation
ESSENTIALITY	staple	crop	importance	collocation
DISPENSABILITY	vital	interest	importance	collocation
INTELLIGENCE	intelligent	life	intelligence	collocation
INTELLIGENCE	intelligent	question	intelligence	collocation
REASONABLENESS	intelligent	solution	intelligence	collocation
MODERATION	abnormal	ambition	intensity	collocation
NORMALITY	abnormal	power	intensity	collocation
COMPLETENESS	absolute	freedom	intensity	collocation
DEGREE	bad	headache	intensity	collocation
DEGREE	bad	storm	intensity	collocation
SIZE	big	expenditure	intensity	collocation
SIZE	big	business	intensity	collocation
COMPLETENESS	complete	defeat	intensity	collocation
MODERATION	conservative	estimate	intensity	collocation
CRISIS	critical	illness	intensity	collocation
CRISIS	critical	shortage	intensity	collocation
CRITICALITY	critical	mass	intensity	collocation
CRITICALITY	critical	temperature	intensity	collocation
DEPTH	deep	breath	intensity	collocation
DEPTH	deep	concentration	intensity	collocation
DEPTH	deep	emotion	intensity	collocation
DEPTH	deep	sigh	intensity	collocation
DEPTH	deep	sleep	intensity	collocation
DEPTH	deep	trance	intensity	collocation
CRISIS	desperate	illness	intensity	collocation
CRISIS	dire	emergency	intensity	collocation
COMMONNESS	exceptional	kindness	intensity	collocation
DEGREE	exquisite	pain	intensity	collocation
SIZE	extensive	damage	intensity	collocation
MODERATION	extraordinary	desire	intensity	collocation
ORDINARINESS	extraordinary	achievement	intensity	collocation
ORDINARINESS	extraordinary	authority	intensity	collocation
ORDINARINESS	extraordinary	beauty	intensity	collocation
ORDINARINESS	extraordinary	capacity	intensity	collocation
ORDINARINESS	extraordinary	popularity	intensity	collocation
CONSPICUOUSNESS	flagrant	violation	intensity	collocation
DEGREE	gentle	reprimand	intensity	collocation
SIZE	gigantic	disappointment	intensity	collocation
CONSPICUOUSNESS	glaring	error	intensity	collocation
GLUTTONY	gluttonous	appetite	intensity	collocation
SIZE	great	multitude	intensity	collocation
DEGREE	high	hope	intensity	collocation
DEGREE	high	point	intensity	collocation
DEGREE	high	price	intensity	collocation
DEGREE	high	risk	intensity	collocation
DEGREE	high	temperature	intensity	collocation
